Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-09-12 14:00:11,false,"Pittsburgh - Tempo Run","7.62","825","01:11:22","148","164","4.6","156","167","9:22","7:36","223","200","1.10","9.1","10.0","286","9:20","295","0.0","290","360","11,060","No","00:00:01.0","11","01:11:05","01:11:23","1,009","1,112"
Running,2024-09-11 12:52:09,false,"Pittsburgh Running","2.59","290","00:25:15","147","162","3.1","156","168","9:46","8:03","246","230","1.05","9.3","9.7","288","9:34","292","0.0","285","382","3,944","No","00:06:14.5","3","00:25:14","00:25:15","891","1,108"
Running,2024-09-10 05:32:50,false,"Pittsburgh - Easy Run","5.08","540","00:52:39","130","143","3.1","157","173","10:21","8:17","361","358","0.99","9.6","9.4","292","10:15","271","0.0","266","360","8,210","No","00:00:44.3","6","00:52:37","00:52:39","927","1,109"
Running,2024-09-09 05:36:00,false,"Pittsburgh - Easy Run","5.63","605","00:56:10","135","149","3.4","159","167","9:59","8:32","371","364","1.01","9.4","9.4","286","9:52","280","0.0","275","374","8,886","No","00:06:20.7","6","00:56:08","00:56:10","930","1,110"
Running,2024-09-07 12:54:33,false,"Pittsburgh - Steady State Run","13.35","1,303","02:06:17","122","147","3.9","156","173","9:27","7:06","636","607","1.09","9.1","9.8","284","9:24","304","0.0","297","451","19,600","No","00:02:25.3","16","02:05:19","02:08:55","933","1,167"
Running,2024-09-06 15:06:56,false,"Pittsburgh Running","5.13","599","00:51:22","150","170","3.9","153","243","10:01","6:48","381","361","1.05","9.4","9.8","291","9:50","285","0.0","279","422","7,812","No","00:01:11.7","6","00:50:45","00:51:22","930","1,115"
Running,2024-09-05 14:08:30,false,"Pittsburgh - Easy Run","2.79","292","00:25:40","137","155","3.1","156","191","9:13","6:25","246","233","1.10","9.1","9.9","285","9:07","310","0.0","302","505","4,010","No","00:07:41.2","3","00:25:38","00:25:40","888","1,115"
Running,2024-09-04 05:34:26,false,"Pittsburgh Running","5.10","533","00:51:42","132","144","3.2","157","169","10:08","6:22","364","358","1.00","9.5","9.5","290","10:02","276","0.0","272","387","8,078","No","00:00:56.7","6","00:51:39","00:51:42","925","1,104"
Running,2024-09-03 05:33:43,false,"Pittsburgh - Easy Run","5.09","522","00:52:17","128","140","3.1","157","212","10:17","8:26","371","358","0.99","9.5","9.4","292","10:09","273","0.0","269","363","8,158","No","00:00:45.9","6","00:52:14","00:52:17","936","1,110"
Running,2024-09-02 09:03:19,false,"Pittsburgh - Easy Run","5.28","552","00:56:15","129","144","3.1","155","167","10:39","8:56","390","384","0.97","9.7","9.4","298","10:30","266","0.0","261","394","8,628","No","00:03:02.6","6","00:56:13","00:56:15","932","1,114"
Running,2024-08-31 10:25:58,false,"Pittsburgh - Steady State Run","8.05","860","01:25:22","137","158","3.8","155","169","10:36","7:50","495","495","0.97","9.7","9.3","296","10:30","270","0.0","260","439","13,172","No","00:00:39.8","11","01:25:21","01:38:39","954","1,159"
Running,2024-08-30 14:40:06,false,"Pittsburgh Running","2.99","347","00:31:04","148","164","3.2","153","202","10:22","8:00","262","246","1.01","9.6","9.7","299","10:07","276","0.0","272","354","4,712","No","00:09:36.3","3","00:31:01","00:31:04","896","1,108"
Running,2024-08-29 13:12:16,false,"Pittsburgh - Tempo Run","7.81","899","01:13:16","156","171","4.7","155","181","9:23","6:28","266","259","1.10","9.1","10.0","288","9:21","295","0.0","292","417","11,292","No","00:00:01.0","11","01:13:07","01:19:15","959","1,102"
Running,2024-08-28 08:01:57,false,"Pittsburgh Running","2.85","331","00:31:19","134","148","2.7","155","187","11:00","8:59","269","262","0.94","9.8","9.2","300","10:49","267","0.0","262","364","4,822","No","00:09:13.5","3","00:31:17","00:31:19","949","1,106"
Running,2024-08-27 05:30:16,false,"Pittsburgh - Easy Run","5.58","627","00:56:48","136","153","3.5","157","176","10:11","7:54","351","344","1.00","9.4","9.4","290","10:06","281","0.0","276","364","8,858","No","00:05:55.0","6","00:56:40","00:56:48","932","1,109"
Running,2024-08-26 05:26:39,false,"Pittsburgh - Easy Run","5.34","579","00:59:06","128","141","3.0","154","163","11:04","8:17","371","351","0.94","9.8","9.2","301","10:55","257","0.0","253","355","9,060","No","00:04:02.5","6","00:59:03","00:59:06","929","1,106"
Running,2024-08-24 12:48:19,false,"Pittsburgh - Steady State Run","11.73","1,310","01:53:09","151","172","5.0","156","171","9:39","7:16","771","755","1.07","9.2","9.7","286","9:33","300","0.0","289","475","17,530","No","00:04:15.5","13","01:52:09","01:53:09","972","1,165"
Running,2024-08-23 14:30:23,false,"Pittsburgh Running","5.04","570","00:46:57","150","170","4.0","157","223","9:19","7:04","374","348","1.10","9.1","10.0","285","9:09","305","0.0","302","399","7,322","No","00:00:20.5","6","00:46:56","00:46:57","934","1,121"
Running,2024-08-22 13:00:15,false,"Pittsburgh - Hill Repeats","6.83","724","01:03:28","145","160","4.0","153","225","9:18","5:38","892","869","1.11","8.4","9.3","268","8:55","334","0.0","297","559","9,804","No","00:00:01.5","36","01:02:37","01:03:28","946","1,121"
Running,2024-08-21 15:00:04,false,"Pittsburgh Running","3.83","367","00:35:41","126","133","2.8","156","166","9:19","7:28","282","266","1.10","9.1","10.0","286","9:11","304","0.0","300","399","5,530","No","00:08:23.6","4","00:35:37","00:35:41","924","1,108"
Running,2024-08-20 13:37:12,false,"Pittsburgh - Supersets","9.27","932","01:20:28","139","168","4.7","158","181","8:41","6:36","243","236","1.17","8.8","10.2","277","8:38","319","0.0","312","442","12,670","No","00:00:49.6","14","01:20:17","01:20:28","1,005","1,100"
Running,2024-08-19 06:00:25,false,"Pittsburgh - Easy Run","5.70","575","00:55:51","127","137","3.2","157","212","9:48","8:14","367","361","1.04","9.3","9.7","288","9:41","289","0.0","285","399","8,720","No","00:07:28.3","6","00:55:49","00:55:51","929","1,110"
Running,2024-08-18 10:43:19,false,"Pittsburgh Running","2.86","336","00:31:45","137","148","2.9","153","161","11:06","8:39","308","292","0.95","9.8","9.3","303","10:48","270","0.0","261","440","4,810","No","00:09:28.4","3","00:31:39","00:31:45","1,032","1,136"
Running,2024-08-17 09:09:33,false,"Pittsburgh - Steady State Run","11.14","1,215","01:55:26","137","155","4.3","154","169","10:22","7:49","968","955","1.00","9.6","9.5","296","10:12","282","0.0","274","452","17,712","No","00:01:12.8","14","01:55:01","02:11:06","923","1,220"
Running,2024-08-16 12:29:29,false,"Pittsburgh - Tempo Run","8.70","949","01:23:35","144","161","4.4","156","166","9:36","7:56","400","377","1.07","9.2","9.8","289","9:33","297","0.0","292","377","12,922","No","00:01:43.2","11","01:23:30","01:23:35","928","1,119"
Running,2024-08-13 06:29:43,false,"Pittsburgh - Easy Run","5.07","534","00:52:50","127","140","3.1","157","169","10:26","8:06","344","331","0.98","9.6","9.4","293","10:18","272","0.0","268","392","8,230","No","00:00:01.1","7","00:52:48","00:52:50","929","1,102"
Running,2024-08-12 09:23:08,false,"Pittsburgh - Goal Pace Repeats","5.72","565","00:50:45","140","164","3.5","160","188","8:52","6:01","197","194","1.13","8.8","9.9","277","8:49","317","0.0","308","504","8,052","No","00:00:06.1","12","00:50:40","00:50:45","1,002","1,094"
Running,2024-08-11 10:45:31,false,"Pittsburgh Running","3.13","347","00:35:42","128","140","2.6","153","163","11:24","9:01","259","253","0.92","10.0","9.1","307","11:14","253","0.0","248","343","5,414","No","00:01:35.5","4","00:35:37","00:35:42","881","1,094"
Running,2024-08-10 11:00:42,false,"Pittsburgh - Steady State Run","13.19","1,452","02:01:13","153","171","5.0","159","174","9:11","7:09","761","748","1.10","9.0","9.8","281","9:07","313","0.0","305","458","19,156","No","00:01:38.7","16","02:01:10","02:01:13","1,014","1,154"
Running,2024-08-09 12:43:34,false,"Pittsburgh Running","5.17","592","00:58:11","135","153","3.1","151","163","11:16","8:32","413","371","0.94","9.9","9.3","310","11:01","257","0.0","253","352","8,734","No","00:01:52.0","6","00:58:06","00:58:11","929","1,114"
Running,2024-08-08 10:56:40,false,"Pittsburgh - Hill Repeats","6.79","728","01:05:58","140","166","3.7","155","244","9:42","5:56","876","873","1.07","8.7","9.2","278","9:20","327","0.0","295","533","10,112","No","00:00:02.4","35","01:05:44","01:05:58","966","1,115"
Running,2024-08-07 13:21:06,false,"Pittsburgh Running","3.98","465","00:43:22","139","152","3.1","154","159","10:54","8:57","397","387","0.96","9.8","9.3","301","10:39","272","0.0","265","365","6,586","No","00:10:24","4","00:43:20","00:43:22","946","1,123"
Running,2024-08-06 07:56:14,false,"Pittsburgh - Supersets","8.89","996","01:19:32","158","177","5.0","156","187","8:57","6:26","223","220","1.15","8.8","10.0","280","8:56","318","0.0","307","519","12,466","No","00:00:53.1","14","01:18:40","01:19:32","1,018","1,107"
Running,2024-08-05 08:01:07,false,"Pittsburgh - Easy Run","5.11","565","00:48:25","145","158","3.7","159","176","9:28","7:12","358","354","1.07","9.1","9.7","282","9:20","302","0.0","297","404","7,660","No","00:00:59.1","6","00:48:24","00:48:25","930","1,106"
Running,2024-08-04 07:14:29,false,"Pittsburgh Running","6.55","731","01:11:34","132","145","3.3","154","170","10:55","8:36","397","397","0.96","9.7","9.3","300","10:47","262","0.0","259","349","10,948","No","00:06:14.6","7","01:11:29","01:11:34","949","1,138"
Running,2024-08-03 11:31:29,false,"Pittsburgh - Steady State Run","7.85","860","01:10:08","149","165","4.7","158","217","8:56","7:19","427","410","1.14","8.8","10.1","280","8:50","327","0.0","320","469","11,040","No","00:00:46.8","10","01:10:06","01:22:37","1,060","1,151"
Treadmill Running,2024-08-02 15:02:32,false,"Treadmill Running","3.01","327","00:29:58","139","146","3.0","152","160","9:57","9:20","--","--","1.06","9.4","10.0","297","--","271","0.0","270","295","4,510","No","00:00:06.2","4","00:29:49","00:29:58","--","--"
Running,2024-08-01 08:50:50,false,"Pittsburgh - Tempo Run","8.44","942","01:20:54","147","165","4.5","156","221","9:35","6:36","525","525","1.07","9.2","9.8","289","9:31","308","0.0","298","463","12,528","No","00:05:00","10","01:20:50","01:20:54","1,018","1,141"
Treadmill Running,2024-07-31 06:01:30,false,"Treadmill Running","3.06","282","00:30:05","127","136","2.3","155","165","9:49","9:11","--","--","1.06","9.3","9.8","290","--","274","0.0","272","298","4,652","No","00:00:38.0","4","00:29:57","00:30:05","--","--"
Running,2024-07-30 12:45:13,false,"Pittsburgh - Goal Pace Repeats","7.12","832","01:05:16","160","177","4.9","157","225","9:10","7:29","354","344","1.12","9.0","9.9","284","9:03","319","0.0","311","404","10,144","No","00:00:04.4","13","01:05:11","01:05:16","886","1,105"
Running,2024-07-29 05:27:26,false,"Pittsburgh - Easy Run","6.22","658","01:08:57","124","148","2.9","154","173","11:05","7:49","364","358","0.94","9.9","9.2","301","10:59","258","0.0","255","362","10,544","No","00:02:17.2","7","01:08:55","01:08:57","940","1,121"
Running,2024-07-27 15:29:24,false,"Pittsburgh - Steady State Run","15.01","1,757","02:27:21","156","170","5.0","153","168","9:49","7:29","925","981","1.07","9.2","9.8","292","9:44","302","0.0","290","472","22,392","No","00:00:12.3","16","02:25:53","02:27:21","914","1,169"
Treadmill Running,2024-07-26 06:13:56,false,"Treadmill Running","3.04","250","00:30:00","120","128","1.9","154","161","9:53","8:56","--","--","1.06","9.3","9.8","293","--","276","0.0","274","318","4,602","No","00:00:23.5","4","00:29:51","00:30:00","--","--"
Running,2024-07-25 12:50:58,false,"Pittsburgh - Hill Repeats","6.81","775","01:06:08","146","172","4.1","151","237","9:43","6:02","883","856","1.09","8.6","9.4","278","9:16","332","0.0","301","536","9,964","No","00:00:01.9","35","01:05:45","01:06:08","960","1,129"
Running,2024-07-23 08:18:41,false,"Pittsburgh - Supersets","9.36","952","01:27:16","139","170","3.8","158","228","9:19","5:45","276","262","1.08","9.0","9.6","285","9:17","318","0.0","304","492","13,692","No","00:00:49.3","14","01:27:11","01:29:20","972","1,119"
Running,2024-07-22 05:24:16,false,"Pittsburgh - Easy Run","6.95","768","01:05:44","143","165","4.0","158","188","9:28","6:46","364","374","1.07","9.1","9.7","284","9:24","302","0.0","299","486","10,376","No","00:08:27.8","7","01:05:43","01:05:44","938","1,107"
Running,2024-07-20 09:49:05,false,"Wilkinsburg Running","3.08","329","00:30:13","130","138","2.7","155","175","9:48","6:52","315","121","1.05","9.2","9.7","290","9:29","314","0.0","308","452","4,654","No","00:00:39.3","4","00:30:10","00:30:13","913","1,160"
Running,2024-07-20 08:05:47,false,"Pittsburgh - Steady State Run","10.01","1,053","01:30:56","141","156","4.2","159","171","9:05","7:39","545","699","1.12","8.9","9.9","280","9:03","321","0.0","313","506","14,326","No","00:00:07.9","11","01:30:53","01:30:56","928","1,137"
Treadmill Running,2024-07-19 05:55:18,false,"Treadmill Running","3.02","294","00:29:56","130","137","2.3","154","161","9:54","9:02","--","--","1.06","9.3","9.8","294","--","279","0.0","278","308","4,564","No","00:00:13.7","4","00:29:50","00:29:56","--","--"
Running,2024-07-18 09:31:09,false,"Pittsburgh - Tempo Run","8.71","855","01:18:40","127","136","3.7","157","189","9:02","5:56","217","217","1.13","8.9","10.0","282","9:01","317","0.0","314","477","12,330","No","00:00:31.9","11","01:18:35","01:18:40","1,014","1,102"
Treadmill Running,2024-07-17 05:59:54,false,"Treadmill Running","3.00","325","00:30:08","140","155","2.8","152","180","10:03","8:46","--","--","1.09","9.2","10.0","294","--","288","0.0","285","337","4,550","No","00:00:48.0","4","00:29:46","00:30:36","--","--"
Running,2024-07-16 08:49:38,false,"Pittsburgh - Goal Pace Repeats","6.02","652","00:55:32","145","168","3.8","157","177","9:13","6:58","184","187","1.10","8.9","9.8","284","9:10","329","0.0","316","472","8,662","No","00:00:05.6","11","00:55:28","00:55:32","1,018","1,101"
Running,2024-07-15 08:46:38,false,"Pittsburgh - Easy Run","6.38","729","01:03:54","144","157","3.8","155","190","10:01","7:00","384","361","1.03","9.4","9.6","293","9:56","294","0.0","290","412","9,894","No","00:00:01.0","8","01:03:52","01:03:54","948","1,121"
Running,2024-07-12 08:42:21,false,"Pittsburgh - Steady State Run","8.41","901","01:22:30","134","148","3.8","157","171","9:49","7:05","440","430","1.04","9.2","9.6","289","9:45","307","0.0","297","451","12,864","No","00:00:01.0","10","01:22:29","01:22:30","1,069","1,160"
Running,2024-07-11 08:39:23,false,"Pittsburgh - Hill Repeats","6.74","750","01:13:16","137","168","3.6","148","225","10:52","5:52","846","843","1.00","9.1","9.0","286","10:25","312","0.0","273","543","10,798","No","00:00:10.8","35","01:11:28","01:13:16","954","1,108"
Running,2024-07-09 08:29:20,false,"Pittsburgh - Time Trial","4.53","510","00:44:53","146","178","3.4","153","219","9:55","6:16","148","131","1.05","9.2","9.5","294","9:53","308","0.0","288","450","6,860","No","00:06:13.7","5","00:44:20","00:45:09","1,018","1,112"
Running,2024-07-08 05:35:48,false,"Pittsburgh - Easy Run","5.10","591","00:56:57","136","151","3.1","154","172","11:10","7:50","364","348","0.93","9.8","9.1","301","11:00","269","0.0","265","382","8,736","No","00:00:54.8","6","00:56:56","00:56:57","930","1,107"
Running,2024-07-06 06:29:58,false,"Pittsburgh - Steady State Run","11.23","1,285","01:53:32","153","174","4.8","154","208","10:07","7:54","633","633","1.03","9.4","9.6","297","10:02","296","0.0","286","467","17,328","No","00:02:12.4","13","01:53:29","01:53:32","961","1,156"
Running,2024-07-04 09:00:07,false,"Pittsburgh - Tempo Run","8.20","972","01:19:17","159","182","5.0","153","217","9:40","6:37","358","341","1.08","9.1","9.7","288","9:37","304","0.0","294","511","12,102","No","00:05:00","10","01:18:25","01:19:17","914","1,117"
Running,2024-07-02 08:21:03,false,"Pittsburgh - Supersets","6.20","664","00:56:34","150","173","3.9","159","184","9:07","6:08","194","171","1.10","8.9","9.6","280","9:04","324","0.0","312","506","8,972","No","00:00:49.9","10","00:56:30","01:00:15","1,034","1,123"
Running,2024-07-01 08:19:50,false,"Pittsburgh - Easy Run","4.96","582","00:53:13","143","159","3.3","154","163","10:44","8:21","341","354","0.97","9.6","9.3","299","10:36","386","0.0","285","3,884","8,148","No","00:09:59.8","4","00:42:56","00:53:43","920","1,110"
Running,2024-06-29 09:09:55,false,"Pittsburgh - Steady State Run","9.04","1,088","01:29:37","157","180","5.0","157","224","9:55","6:39","594","587","1.04","9.2","9.4","291","9:46","306","0.0","296","457","13,940","No","00:00:21.0","11","01:29:34","01:29:37","935","1,135"
Running,2024-06-27 07:42:19,false,"Pittsburgh - Hill Repeats","5.61","649","01:00:00","143","168","3.4","148","221","10:41","6:02","679","682","1.01","9.0","9.0","283","10:16","323","0.0","278","545","8,936","No","00:00:14.3","27","00:58:18","01:00:00","961","1,112"
Running,2024-06-25 08:14:33,false,"Pittsburgh - Goal Pace Repeats","5.66","635","00:52:43","154","175","4.0","156","214","9:19","4:49","177","187","1.10","8.8","9.6","281","9:16","318","0.0","305","652","8,234","No","00:00:04.7","11","00:52:13","00:52:43","1,014","1,110"
Running,2024-06-24 05:25:26,false,"Pittsburgh - Easy Run","5.03","568","00:57:08","130","144","2.9","154","171","11:22","8:44","420","354","0.91","9.9","9.0","302","11:12","267","0.0","263","360","8,780","No","00:00:19.7","6","00:57:04","00:57:08","928","1,106"
Running,2024-06-22 09:39:47,false,"Pittsburgh - Steady State Run","6.99","863","01:11:20","159","181","4.7","153","181","10:12","6:58","279","266","1.01","9.3","9.3","292","10:10","298","0.0","285","523","10,904","No","00:05:18.2","8","01:10:41","01:11:20","927","1,107"
Running,2024-06-20 08:45:01,false,"Pittsburgh - Tempo Run","5.93","741","00:58:38","159","177","4.2","156","184","9:53","7:07","259","259","1.04","9.2","9.5","289","9:47","309","0.0","300","542","9,086","No","00:05:00","7","00:58:23","00:58:38","928","1,106"
Running,2024-06-18 05:53:55,false,"Pittsburgh - Supersets","5.26","567","00:52:33","140","171","3.5","151","226","9:59","5:40","164","154","1.05","8.5","8.9","275","9:55","303","0.0","275","617","7,890","No","00:00:52.0","10","00:52:04","00:52:33","1,014","1,108"
Running,2024-06-17 08:20:19,false,"Pittsburgh - Easy Run","4.85","581","00:53:08","143","157","3.3","153","173","10:57","8:27","348","341","0.95","9.5","9.0","297","10:46","275","0.0","268","387","8,134","No","00:09:57.5","5","00:53:05","00:53:08","942","1,120"
Running,2024-06-15 13:40:22,false,"Pittsburgh - Steady State Run","6.00","694","00:55:39","156","174","4.5","159","186","9:16","7:11","276","177","1.09","8.9","9.7","281","9:12","315","0.0","310","449","8,792","No","00:00:05.3","8","00:55:37","00:57:18","1,016","1,101"
Running,2024-06-13 14:16:50,false,"Pittsburgh - Hill Repeats","4.52","571","00:49:22","151","178","3.6","147","187","10:56","6:00","571","561","1.00","9.3","9.1","292","10:35","557","0.0","290","3,987","7,240","No","00:00:20.3","14","00:31:40","00:50:29","984","1,135"
Running,2024-06-11 12:54:39,false,"Pittsburgh - Goal Pace Repeats","5.65","644","00:52:24","153","180","4.3","158","177","9:16","7:06","194","184","1.09","8.9","9.6","282","9:13","321","0.0","310","418","8,218","No","00:00:03.1","10","00:52:08","00:52:24","1,002","1,100"
Running,2024-06-10 05:35:45,false,"Pittsburgh - Easy Run","3.94","465","00:41:32","143","157","3.4","154","181","10:33","7:14","351","200","0.99","9.3","9.1","290","10:15","295","0.0","283","461","6,404","No","00:09:26.9","4","00:41:29","00:52:16","925","1,104"
Running,2024-06-08 14:31:05,false,"Pittsburgh - Steady State Run","5.03","593","00:47:06","158","174","4.2","158","174","9:22","7:21","184","177","1.08","9.0","9.7","283","9:18","319","0.0","312","487","7,398","No","00:00:14.2","8","00:47:05","00:47:06","1,002","1,096"
Running,2024-06-06 07:25:53,false,"Pittsburgh - Tempo Run","5.00","583","00:50:49","147","163","3.6","158","172","10:09","7:53","180","180","1.00","9.4","9.2","289","10:06","295","0.0","288","375","7,976","No","00:01:11.4","7","00:50:46","00:50:49","1,025","1,117"
Running,2024-06-05 17:18:33,false,"Pittsburgh - Supersets","3.47","371","00:32:35","143","170","3.2","157","187","9:23","6:21","187","272","1.09","8.9","9.6","283","9:15","326","0.0","311","467","5,118","No","00:00:48.7","7","00:32:26","00:35:24","1,007","1,115"
Running,2024-06-03 18:07:49,false,"Pittsburgh - Easy Run","3.65","430","00:35:13","152","172","3.6","156","168","9:38","7:40","262","259","1.06","9.1","9.7","289","9:33","311","0.0","303","458","5,468","No","00:06:27.8","4","00:35:09","00:35:13","928","1,100"
Running,2024-06-01 07:57:41,false,"Pittsburgh - Steady State Run","5.10","579","00:47:29","151","168","4.0","162","194","9:18","7:26","367","354","1.06","8.9","9.4","276","9:13","323","0.0","312","465","7,662","No","00:00:52.2","8","00:47:25","00:47:29","925","1,106"
Running,2024-05-30 13:49:10,false,"Pittsburgh - Hill Repeats","3.35","383","00:34:41","136","151","3.1","156","189","10:22","5:30","404","390","1.00","9.3","9.2","292","9:59","320","0.0","297","564","5,386","No","00:00:07.1","11","00:34:31","00:34:41","960","1,110"
Running,2024-05-29 15:36:53,false,"Pittsburgh - Goal Pace Repeats","5.62","557","00:52:15","134","146","3.3","159","173","9:18","7:11","203","194","1.08","8.9","9.5","280","9:14","322","0.0","310","431","8,278","No","00:00:02.5","10","00:51:55","00:52:15","1,002","1,100"
Running,2024-05-28 18:04:45,false,"Pittsburgh - Easy Run","3.67","357","00:35:11","123","133","2.7","158","177","9:35","7:33","272","259","1.06","9.1","9.6","284","9:25","316","0.0","309","490","5,548","No","00:06:19.2","4","00:35:09","00:35:11","922","1,101"
Running,2024-05-25 12:23:20,false,"Pittsburgh - Steady State Run","4.01","471","00:38:19","157","180","3.9","158","228","9:33","7:36","207","289","1.07","9.0","9.5","282","9:30","317","0.0","303","475","5,998","No","00:00:01.2","6","00:38:06","00:38:19","937","1,123"
Running,2024-05-23 12:40:57,false,"Pittsburgh - Tempo Run","3.85","447","00:36:58","152","171","3.7","160","179","9:36","5:28","279","262","1.04","9.1","9.4","282","9:29","310","0.0","303","471","5,886","No","00:03:43.9","5","00:36:54","00:36:58","925","1,108"
Running,2024-05-22 11:55:50,false,"Pittsburgh - Time Trial","4.10","465","00:42:58","146","181","3.4","152","214","10:29","5:49","180","115","0.99","9.3","9.1","295","10:26","309","0.0","278","544","6,488","No","00:00:26.9","6","00:42:32","00:46:49","1,033","1,125"
Running,2024-05-21 05:36:54,false,"Pittsburgh - Easy Run","3.66","431","00:39:17","140","156","3.2","155","167","10:43","8:27","272","262","0.96","9.6","9.2","296","10:35","278","0.0","275","385","6,080","No","00:07:28.1","4","00:39:13","00:39:17","925","1,106"
Running,2024-05-19 09:01:25,false,"Homestead Running","3.16","383","00:42:06","140","166","2.7","149","190","13:19","6:06","33","30","0.80","10.6","8.3","316","13:21","226","0.0","214","470","6,318","No","00:01:25.2","4","00:41:41","00:54:00","745","767"
Running,2024-05-18 10:59:06,false,"Pittsburgh - Easy Run","4.13","514","00:43:33","154","165","3.6","156","167","10:32","8:38","364","331","0.98","9.5","9.3","294","10:24","287","0.0","282","384","6,734","No","00:01:18.7","5","00:43:30","00:43:33","970","1,123"
Running,2024-05-16 17:30:52,false,"Pittsburgh Running","1.90","222","00:18:53","146","157","2.8","155","200","9:56","4:45","52","59","1.02","9.3","9.4","290","9:50","297","0.0","287","620","2,938","No","00:08:53.2","2","00:18:51","00:18:53","1,008","1,056"
Running,2024-05-16 17:05:11,false,"Pittsburgh - Benchmark Run","1.09","103","00:09:10.9","131","144","2.1","163","177","8:27","6:51","--","--","1.16","8.4","9.6","265","8:27","349","0.0","332","414","1,490","No","00:00:10.9","4","00:09:10.9","00:09:10.9","1,049","1,051"
Running,2024-05-15 17:40:26,false,"Pittsburgh - Base","6.04","734","01:04:48","145","166","3.8","154","161","10:43","9:29","430","427","0.97","9.6","9.3","299","10:34","282","0.0","276","397","9,902","No","00:00:24.7","7","01:04:46","01:04:48","928","1,111"
Running,2024-05-13 17:36:23,false,"Pittsburgh - Anaerobic","5.77","677","00:58:12","152","172","3.8","155","187","10:05","5:29","82","69","1.01","9.3","9.3","295","10:08","298","0.0","282","513","8,980","No","00:00:12.0","21","00:58:09","00:58:42","1,046","1,070"
Running,2024-05-12 11:55:54,false,"Pittsburgh Running","1.82","214","00:24:33","129","141","2.0","150","165","13:30","9:18","131","157","0.80","10.5","8.4","322","13:23","231","0.0","224","332","3,662","No","00:11:33","2","00:24:32","00:24:33","836","957"
Running,2024-05-11 10:36:29,false,"Pittsburgh Running","3.18","371","00:34:47","131","156","2.9","157","167","10:57","9:02","220","213","0.93","9.7","9.0","294","10:50","276","0.0","272","383","5,448","No","00:01:51.9","4","00:34:41","00:34:47","948","1,095"
Running,2024-05-05 07:15:56,false,"Pittsburgh - DICK'S Sporting Goods Pittsburgh Marathon","26.58","2,860","04:35:23","119","144","5.0","160","250","10:22","5:37","988","978","0.97","9.2","8.9","288","10:20","289","0.0","277","538","42,698","No","00:06:38.9","27","04:35:17","04:35:23","734","1,006"
Running,2024-05-04 13:56:51,false,"Pittsburgh Running","2.23","256","00:25:20","123","133","2.2","152","159","11:22","9:02","144","128","0.94","9.8","9.2","306","11:09","271","0.0","264","379","3,822","No","00:02:35.1","3","00:25:13","00:25:20","1,069","1,119"
Running,2024-05-01 05:38:08,false,"Pittsburgh Running","4.20","476","00:37:54","152","160","3.7","166","183","9:01","6:59","318","312","1.07","8.7","9.3","268","8:55","327","0.0","321","434","6,262","No","00:01:55.2","5","00:37:50","00:37:54","936","1,114"
Running,2024-04-30 05:43:03,false,"Pittsburgh Running","3.06","341","00:30:42","132","145","2.9","160","168","10:02","8:44","243","236","1.00","9.3","9.3","284","9:54","301","0.0","294","414","4,892","No","00:00:31.1","4","00:30:40","00:30:42","1,064","1,185"
Running,2024-04-29 17:41:30,false,"Pittsburgh Running","3.02","354","00:30:35","140","160","3.1","154","163","10:08","8:06","184","138","1.02","9.4","9.5","292","10:00","294","0.0","290","379","4,724","No","00:00:08.0","4","00:30:28","00:30:46","916","1,096"
Running,2024-04-28 11:20:19,false,"Pittsburgh Running","8.06","927","01:13:06","156","168","4.8","161","169","9:04","7:40","476","463","1.10","8.8","9.7","275","9:01","328","0.0","324","413","11,716","No","00:00:27.0","9","01:13:05","01:13:06","1,022","1,088"
Running,2024-04-27 14:16:21,false,"Pittsburgh Running","3.22","367","00:28:48","154","173","3.5","160","179","8:57","6:40","269","266","1.11","8.8","9.8","276","8:51","338","0.0","330","489","4,588","No","00:01:42.2","4","00:28:45","00:28:48","900","1,117"
Running,2024-04-26 17:12:57,false,"Pittsburgh Running","3.02","346","00:28:50","143","158","3.2","158","163","9:33","8:19","223","207","1.07","9.1","9.7","283","9:24","320","0.0","313","431","4,548","No","00:00:10.6","4","00:28:49","00:28:50","949","1,100"
Running,2024-04-25 17:00:54,false,"Pittsburgh Running","4.03","393","00:33:33","135","144","3.2","161","176","8:20","7:36","3","3","1.20","8.4","10.1","269","8:22","339","0.0","337","372","5,394","No","00:00:11.7","5","00:33:32","00:33:33","1,054","1,062"
Running,2024-04-24 17:56:46,false,"Pittsburgh Running","5.03","478","00:43:47","130","139","3.0","159","169","8:42","7:35","59","62","1.16","8.7","10.0","275","8:43","329","0.0","327","399","6,952","No","00:00:12.4","6","00:43:44","00:43:47","1,046","1,062"
Running,2024-04-23 17:30:30,false,"Pittsburgh Running","4.42","407","00:38:51","124","136","2.8","161","169","8:48","7:09","282","269","1.13","8.7","9.8","273","8:41","343","0.0","337","480","6,244","No","00:04:12.9","5","00:38:50","00:38:51","929","1,108"
