Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-12-12 15:03:55,false,"Threshold","4.05","397","00:35:10","151","168","3.6","158","173","8:41","7:56","--","--","1.12","8.9","10.0","279","--","287","0.0","284","336","5,544","No","00:00:09.6","7","00:34:51","00:35:10","--","--"
Running,2024-12-10 13:26:35,false,"Pittsburgh - VO2 Max","5.75","600","00:48:58","161","181","4.8","160","187","8:31","6:38","207","184","1.17","8.7","10.0","272","8:30","326","0.0","316","446","7,788","No","00:00:45.5","12","00:48:52","00:55:23","1,005","1,117"
Treadmill Running,2024-12-09 05:47:12,false,"Base","4.00","371","00:37:04","136","146","3.0","155","165","9:16","9:37","--","--","1.02","9.5","9.7","292","--","258","0.0","258","275","5,710","No","00:00:04.0","5","00:36:59","00:37:04","--","--"
Running,2024-12-07 14:30:53,false,"Pittsburgh - Long Run","12.41","1,416","02:03:34","157","182","5.0","154","169","9:57","7:00","787","781","1.05","9.4","9.8","291","9:51","292","0.0","284","471","18,890","No","00:06:34.1","13","02:02:26","02:07:32","955","1,157"
Treadmill Running,2024-12-06 17:54:06,false,"Recovery","1.73","183","00:19:12","131","156","2.2","148","244","11:06","6:36","--","--","1.09","9.1","9.9","304","--","263","0.0","256","418","2,828","No","00:00:12.2","3","00:19:04","00:19:12","--","--"
Treadmill Running,2024-12-05 17:18:16,false,"VO2 Max","5.78","551","00:49:08","149","166","4.0","160","176","8:30","7:03","--","--","1.07","9.0","9.6","278","--","280","0.0","274","388","7,786","No","00:00:07.9","23","00:48:42","00:49:08","--","--"
Treadmill Running,2024-12-04 17:49:54,false,"Recovery","2.55","262","00:27:22","131","145","2.5","153","161","10:44","9:27","--","--","0.99","9.7","9.6","301","--","247","0.0","246","282","4,150","No","00:07:21.9","3","00:27:15","00:27:22","--","--"
Treadmill Running,2024-12-03 17:26:40,false,"Treadmill Running","3.50","362","00:35:08","137","147","3.1","154","231","10:02","6:56","--","--","1.06","9.3","9.9","292","--","267","0.0","265","406","5,360","No","00:05:28.0","4","00:34:49","00:35:08","--","--"
Treadmill Running,2024-12-02 07:01:13,false,"Base","4.52","446","00:45:08","133","141","2.8","155","240","9:59","9:15","--","--","1.05","9.3","9.7","291","--","274","0.0","273","304","6,974","No","00:00:08.3","6","00:44:55","00:45:08","--","--"
Treadmill Running,2024-12-01 13:45:28,false,"Base","4.60","542","00:45:16","152","165","3.7","155","162","9:50","9:11","--","--","1.08","9.2","9.9","290","--","282","0.0","281","312","6,970","No","00:00:16.2","6","00:45:07","00:45:16","--","--"
